state,frequency_%,mean_daily_return_%,mean_abs_return_%,volatility_daily_%,mean_rolling_volatility_%,downside_frequency_%,avg_duration_days,mean_daily_range_%,mean_log_volume_change_pct,mean_abs_log_volume_change_pct,mean_drawdown_%,worst_drawdown_%,mean_posterior_confidence,mean_posterior_entropy
0,32.2041166380789,0.537768126621164,1.5977602075937152,2.05186353212877,2.2860161896815265,40.612516644474034,16.32608695652174,2.627519259546002,-1.7171086403424443,26.477750650728087,-11.286017469869035,-53.62010950334452,0.9600561774271336,0.0665710719084308
1,9.519725557461406,-0.10542965187783783,4.962895808590425,6.325961279569156,4.775724016420892,51.80180180180181,4.352941176470588,6.60144270242823,12.162016483352927,33.00243487760802,-23.771076864015715,-66.33508953872489,0.9445077476339252,0.10203445954521126
2,26.6295025728988,0.10328605051426219,2.37484511849033,3.0062758781522776,3.6166971481365087,46.05475040257649,18.264705882352942,3.9063607090567927,-3.056110116237932,21.173442507939964,-26.01770223972895,-65.51647655187156,0.9652345756137416,0.06636752355598413
3,31.646655231560892,-0.008957597784645548,1.2443854673147343,1.6338173303333365,1.52715288479656,47.8319783197832,23.806451612903224,2.3453466322461987,0.646317271602952,28.348362032719017,-6.836158348468093,-48.31237691299267,0.9848010305015148,0.030109928470734123
