Date,log_return,rolling_volatility_20,daily_range,volume_change,current_close,next_log_return,state_viterbi_past_only,state_posterior_argmax,posterior_confidence,posterior_entropy,p_state_0,p_state_1,p_state_2,p_state_3
2023-05-10,0.010930188844400906,0.02109339209380606,0.02257228395636863,0.159588024664152,28.825855255126957,-0.010685248709701856,0,0,0.9958604078475342,0.01957340926884544,0.9958604078475342,5.364123496007046e-05,2.299070619919052e-07,0.004085721010451032
2023-05-11,-0.010685248709701856,0.02132920144414756,0.024634351418017442,-0.13673053253894546,28.51948356628418,-0.008362953895759728,0,0,0.9949690489720854,0.023015427379020795,0.9949690489720854,4.548034073499262e-05,3.866030630185376e-07,0.0049850840841338525
2023-05-12,-0.008362953895759728,0.021424811349821937,0.02589982906548936,-0.16107617411984204,28.281970977783203,0.021399560411345185,0,0,0.994750624335915,0.02384464312195832,0.994750624335915,4.4871384941185614e-05,4.219399985856185e-07,0.005204082339119538
2023-05-15,0.021399560411345185,0.021786765404317905,0.028218128014303304,0.06939003766051767,28.89371490478516,0.008940005967186998,0,0,0.9983351599481846,0.00907786031265031,0.9983351599481846,6.202246106504198e-05,5.001095163943636e-07,0.0016023174812345024
2023-05-16,0.008940005967186998,0.02127776636802045,0.03553213056259702,0.42459645065856444,29.15318298339844,0.03249930604081079,0,0,0.9952244874966211,0.022344503753728238,0.9952244874966211,0.00015624496142551837,2.214858433182077e-07,0.00461904605612621
2023-05-17,0.03249930604081079,0.022262323972219417,0.02548210990001683,-0.03826123768185545,30.1162052154541,0.048509273172904564,0,0,0.9993417589111101,0.004141280659749218,0.9993417589111101,8.4722040213286e-05,1.1124871541871391e-06,0.0005724065615030957
2023-05-18,0.048509273172904564,0.022884012945752565,0.04760399785770991,0.5487085119374127,31.613134384155277,-0.013155110232823158,0,0,0.9972858846409167,0.013570533046892985,0.9972858846409167,0.0027052201226562857,1.517954556031266e-06,7.377281884358058e-06
2023-05-19,-0.013155110232823158,0.02331365815060108,0.021238471046296285,-0.45735854986097674,31.19998359680176,-0.002818531703835089,0,0,0.9995878906724486,0.002718336674050813,0.9995878906724486,3.792082568037045e-05,3.054352873206189e-06,0.00037113414900314464
2023-05-22,-0.002818531703835089,0.02331309967908663,0.026943807305421657,-0.24211935575647534,31.11216926574707,-0.01577695009058225,0,0,0.9993006200996781,0.004288385878818877,0.9993006200996781,4.1053886550749515e-05,1.1400923865172104e-06,0.0006571859213906317
2023-05-23,-0.01577695009058225,0.022310990578351106,0.02140900657888603,-0.04325270167311161,30.62516593933105,-0.004900065616454409,0,0,0.9989571651549587,0.006067786223386785,0.9989571651549587,5.1411068182911505e-05,5.504651821180788e-07,0.0009908733116974458
2023-05-24,-0.004900065616454409,0.022012201068863434,0.026229634956157894,0.7055789531993127,30.47546768188477,0.21808811080914245,0,0,0.9958680454733476,0.020162773734493437,0.9958680454733476,0.0003285330102338164,7.62857590849023e-08,0.0038033452306602184
2023-05-25,0.21808811080914245,0.052267993652469216,0.07490787927838943,0.7608539806369352,37.90223693847656,0.0251162069026237,1,1,1.0,7.474338213496566e-14,3.105742843181786e-48,1.0,8.906386600316959e-16,3.9418317341479567e-85
2023-05-26,0.0251162069026237,0.05230032671990536,0.04159602956473702,-0.7706352562109183,38.86625289916992,0.0294745951343505,1,1,0.9985980462119711,0.007654687843908058,3.4045405673896454e-32,0.9985980462119711,0.0014019537880457322,4.3370514486201066e-58
2023-05-30,0.0294745951343505,0.0520847283434105,0.04958735534041448,0.25662476280123686,40.02886962890625,-0.05844247346437376,1,1,0.9922069647079903,0.032889172174825294,1.3076776913019356e-31,0.9922069647079903,0.007793035292004175,1.879845765145754e-46
2023-05-31,-0.05844247346437376,0.05400382763912803,0.06536447630943311,0.08226836346898556,37.75653076171875,0.049904728387886045,1,1,0.9992445936090532,0.004461660311089463,7.2470303437977295e-40,0.9992445936090532,0.0007554063909731846,8.6677811141644e-50
2023-06-01,0.049904728387886045,0.05409045309157405,0.04299721058059078,-0.4553330986298668,39.688568115234375,-0.011201552553732685,1,1,0.9994293614395535,0.003485865045247897,1.3461267189889376e-36,0.9994293614395535,0.0005706385604348794,3.0765023489369266e-52
2023-06-02,-0.011201552553732685,0.05415882036525807,0.036666955401690716,-0.27553929517731246,39.24647521972656,-0.003974655164449131,1,1,0.9955624147221367,0.02053603237332203,2.7420240942859066e-36,0.9955624147221367,0.004437585277866974,1.4956709098809437e-51
2023-06-05,-0.003974655164449131,0.054107223940066576,0.021903905002929488,-0.19780800586524133,39.09079360961914,-0.013286222636539112,1,1,0.9961423292253802,0.018242853715545307,7.858539093092284e-37,0.9961423292253802,0.003857670774592408,1.944747849460847e-53
2023-06-06,-0.013286222636539112,0.054489818756866266,0.02618101762237398,-0.01876911408142146,38.57485961914063,-0.030872999019639292,1,1,0.9971447766831952,0.014123096837990418,7.891541508544377e-38,0.9971447766831952,0.0028552233167876656,4.8132950525460727e-54
2023-06-07,-0.030872999019639292,0.054897594543224175,0.057184833719909706,0.2754382760401335,37.40213394165039,0.0272439544895747,1,1,0.9988218637303959,0.006580552428650549,1.709483064580613e-39,0.9988218637303959,0.0011781362696129782,1.8251769960561087e-51
2023-06-08,0.0272439544895747,0.0549774582757754,0.03528946777987284,-0.20338488961702403,38.43512344360352,0.00672871328404367,1,1,0.998423723408265,0.00847313372291402,3.7517315182612736e-38,0.998423723408265,0.0015762765917575472,3.71658447846169e-54
2023-06-09,0.00672871328404367,0.0546966939645747,0.029507278278964467,0.02352593276465411,38.69461441040039,0.018198061427302344,1,1,0.9974312150722474,0.012902414131185466,7.302576018943322e-38,0.9974312150722474,0.002568784927734667,3.2493661024418733e-54
2023-06-12,0.018198061427302344,0.05441477324533483,0.023099103002144433,-0.0956513513964824,39.40522766113281,0.03826365810734183,1,1,0.9975027561312073,0.01259402502306459,1.4660527317929827e-37,0.9975027561312073,0.002497243868781382,1.5072733919408823e-54
2023-06-13,0.03826365810734183,0.05462358833870615,0.03317732149328355,0.4558937826939467,40.94223403930664,0.04702222148906404,1,1,0.9996277397298746,0.002388761991673498,2.650208065923315e-38,0.9996277397298746,0.0003722602701738777,2.302037321684815e-55
2023-06-14,0.04702222148906404,0.05497479536399234,0.05693424582523262,0.18857417400259582,42.91341018676758,-0.008032893593857532,1,1,0.9996738904765852,0.0021237582013335517,1.332028580156056e-38,0.9996738904765852,0.0003261095234158223,9.654416242413117e-55
2023-06-15,-0.008032893593857532,0.05521039704647939,0.02677425055637896,-0.264062477238128,42.570072174072266,0.0009139609960010645,1,1,0.9982641730566533,0.009209953497811677,4.001490144997197e-39,0.9982641730566533,0.0017358269433597352,2.714050720556661e-56
2023-06-16,0.0009139609960010645,0.054818940215917614,0.024829039163104125,0.14250120297316812,42.6089973449707,0.025804820041549707,1,1,0.9985198177575751,0.00802379873483857,9.121610436201396e-39,0.9985198177575751,0.0014801822424784915,9.604750158260104e-56
2023-06-20,0.025804820041549707,0.05445965200108129,0.030040219421727823,-0.37391056487315044,43.72282409667969,-0.017570281880596634,1,1,0.9979761837493885,0.010513664865509212,4.730900618366552e-37,0.9979761837493885,0.0020238162505864916,3.527043791758665e-53
2023-06-21,-0.017570281880596634,0.05483895656089916,0.03566035341405893,0.20102205653661132,42.96131134033203,-0.00046485467734037964,1,1,0.9980960416270508,0.009974936065508004,1.4161697644154673e-38,0.9980960416270508,0.0019039583729137859,8.456132568631524e-54
2023-06-22,-0.00046485467734037964,0.05447566822646867,0.02770476434170962,-0.2779765367271407,42.94134521484375,-0.019147819918546666,1,1,0.9966894863952924,0.016021286199930627,3.55238344505664e-37,0.9966894863952924,0.003310513604663238,2.648930699349172e-53
2023-06-23,-0.019147819918546666,0.05486751567418537,0.01881112381602419,-0.15392807649231566,42.12693405151367,-0.03807769277578638,1,1,0.9985498393987922,0.007882507513820618,2.5754171883300812e-39,0.9985498393987922,0.0014501606012554459,7.800033577473531e-57
2023-06-26,-0.03807769277578638,0.02910836484827339,0.06556412351950734,0.5064972886197449,40.55299377441406,0.030157115639567588,1,1,0.899897785181656,0.23482019980454247,2.38028480194357e-05,0.899897785181656,0.1000784119606796,9.623485241270847e-12
2023-06-27,0.030157115639567588,0.029327481397184784,0.03562892312322723,-0.2514776527898492,41.79458236694336,-0.018291352994817087,2,2,0.8403050087883653,0.38311734100866546,0.04193953467086351,0.11775545156877892,0.8403050087883653,4.971939212548853e-09
2023-06-28,-0.018291352994817087,0.02905587934081401,0.032273746761515495,0.23162417634398763,41.037052154541016,-0.007200405135592847,2,2,0.9583340020420414,0.14424459027657982,0.027421920704658362,0.014243933760995052,0.9583340020420414,1.434922964873712e-07
2023-06-29,-0.007200405135592847,0.02556540864189658,0.024496595815700645,-0.42604481326511784,40.74263000488281,0.03561332418015743,2,0,0.6433622809862635,0.47882545515011365,0.6433622809862635,0.0018594105627225254,0.3547038000668543,7.450838415454457e-05
2023-06-30,0.03561332418015743,0.024381408108113213,0.024797877938158668,0.27537849632442135,42.219757080078125,0.0026202452689849075,0,0,0.9923158449477706,0.03377371695868284,0.9923158449477706,0.00040624526241643077,0.007253215780964457,2.4694008833356e-05
2023-07-03,0.0026202452689849075,0.024149745083062887,0.01641004350210324,-0.9275794370987527,42.330528259277344,-0.0022658518094946217,0,0,0.9996327597110269,0.002513992383776039,0.9996327597110269,4.5595138136668194e-05,2.0219934045846284e-05,0.0003014252167914689
2023-07-05,-0.0022658518094946217,0.024123865882371538,0.02580520876490588,0.49024177832176025,42.23472213745117,-0.005069741385447678,0,0,0.9995857665208542,0.002834771003824555,0.9995857665208542,0.00018339640968488558,7.03685597726451e-07,0.00023013338383425834
2023-07-06,-0.005069741385447678,0.023885143002112016,0.01978481748155689,-0.06391205263851729,42.02114486694336,0.009455418252551865,0,0,0.9998018329526863,0.0014450062682392602,0.9998018329526863,4.568040475328869e-05,1.4978711448737848e-06,0.00015098877137786307
2023-07-07,0.009455418252551865,0.022418678545843777,0.024327704793057847,0.15894465008226158,42.42035675048828,-0.007628588661578713,0,0,0.999021686030903,0.005736080731405301,0.999021686030903,4.781827583969463e-05,4.24846918196126e-07,0.0009300708463051387
2023-07-10,-0.007628588661578713,0.022056805620817906,0.027548661808188196,-0.0055594129569075425,42.09798049926758,0.005320040944874459,0,0,0.9974316925032536,0.01308913270525974,0.9974316925032536,5.2588975388863054e-05,5.463213222921708e-07,0.0025151722000662496
2023-07-11,0.005320040944874459,0.022051735479431542,0.016295203331781243,-0.1711250489271913,42.322540283203125,0.034693818524434324,0,0,0.9988719797950661,0.006437271018058758,0.9988719797950661,2.9431131797178843e-05,4.567362331914443e-07,0.0010981323368880098
2023-07-12,0.034693818524434324,0.02288455450305315,0.02637695172829193,0.47853104449987965,43.8166389465332,0.04618162952291824,0,0,0.9996587568035131,0.0023727348139842047,0.9996587568035131,0.00022098177788105653,3.795498966661812e-07,0.00011988186866398792
2023-07-13,0.04618162952291824,0.02354372511812467,0.0361702189445511,-0.006405568234130763,45.88761520385742,-0.011110558981602838,0,0,0.9994305760065325,0.003600602644795031,0.9994305760065325,0.0005273230823560587,6.417560755227658e-06,3.568335032724018e-05
2023-07-14,-0.011110558981602838,0.021689341600206517,0.0665948175692353,0.4790442758748604,45.38059997558594,0.021582371491805117,1,1,0.5283603944642624,0.5171461918940053,0.4672802861436241,0.5283603944642624,0.00014068344903147594,0.004218635943041993
2023-07-17,0.021582371491805117,0.02192089979860846,0.02655985415459718,-0.41371456460292894,46.37066650390625,0.02199011619865603,0,0,0.9941095612464658,0.030254255851727856,0.9941095612464658,0.002028085989347187,0.0008470241395093267,0.0030153286246862457
2023-07-18,0.02199011619865603,0.022254836000467466,0.045521513715328504,0.10880148659142738,47.40165710449219,-0.008818868182782727,0,0,0.9984997958103734,0.008946267092224803,0.9984997958103734,0.0007114234132687095,2.493150723930436e-05,0.0007638492691074142
2023-07-19,-0.008818868182782727,0.021922447580406453,0.022856176504359105,-0.2862096508251167,46.98546600341797,-0.03363271824696026,0,0,0.9978060367008941,0.011399373526364224,0.9978060367008941,3.329438914026927e-05,8.238605636366474e-07,0.002159845049417449
2023-07-20,-0.03363271824696026,0.02300620457826606,0.04448597331974613,0.22964863257726872,45.43149566650391,-0.026964218545321193,0,0,0.990032965676597,0.04534142565503201,0.990032965676597,0.004859164567492263,1.4761940918037554e-05,0.005093107814954762
2023-07-21,-0.026964218545321193,0.023947653512509687,0.0398565241924085,0.5832440400337853,44.22283935546875,0.006815220555871527,0,0,0.9954287710917632,0.023391166080372575,0.9954287710917632,0.0025699243475532717,1.8174725319873294e-05,0.001983129835333739
