asset,model,DPA_direction_accuracy,balanced_accuracy,roc_auc,log_loss,brier_score,n_test_samples,runtime_sec,train_start,train_end,validation_start,validation_end,test_start,test_end
GLD,Logistic Regression,0.5315533980582524,0.5043560606060606,0.5145596590909091,0.6906403293508304,0.2487469541666149,412,0.013553077355027199,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
GLD,Random Forest Classifier,0.5242718446601942,0.5091382575757576,0.5385179924242424,0.6909517007076936,0.24888270354530279,412,1.340992657467723,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
GLD,HistGradientBoostingClassifier,0.4975728155339806,0.4947443181818182,0.5141098484848484,0.7183228034393588,0.26143248078874654,412,0.2859059255570173,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
HYG,Logistic Regression,0.5461165048543689,0.5,0.5012002376708259,0.6895319409081698,0.24819514400751969,412,0.01122303493320942,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
HYG,Random Forest Classifier,0.5242718446601942,0.48812834224598933,0.5560546642899584,0.6908426647584832,0.2486902262542216,412,1.2198077235370874,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
HYG,HistGradientBoostingClassifier,0.5339805825242718,0.5159833630421866,0.5514676173499703,0.7015190427246549,0.25269230737899423,412,0.2265435140579939,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
BTC-USD,Logistic Regression,0.5204991087344029,0.5076121794871795,0.5144230769230769,0.6953570289817912,0.251085580870144,561,0.010478504002094269,2014-10-07,2021-12-02,2021-12-04,2023-06-16,2023-06-18,2024-12-29
BTC-USD,Random Forest Classifier,0.5294117647058824,0.5193452380952381,0.5001653439153438,0.6987513117349553,0.25271275125559167,561,1.3485763277858496,2014-10-07,2021-12-02,2021-12-04,2023-06-16,2023-06-18,2024-12-29
BTC-USD,HistGradientBoostingClassifier,0.5222816399286988,0.5179334554334555,0.5213484432234432,0.7265500194182769,0.26384976177381414,561,0.26157794520258904,2014-10-07,2021-12-02,2021-12-04,2023-06-16,2023-06-18,2024-12-29
JPM,Logistic Regression,0.5679611650485437,0.5101145268233875,0.5406871609403255,0.6851102504387921,0.24600288094840578,412,0.021466990932822227,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
JPM,Random Forest Classifier,0.5364077669902912,0.49763713080168775,0.48342374924653403,0.6953135049308322,0.25101432261666784,412,1.4205520041286945,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
JPM,HistGradientBoostingClassifier,0.5048543689320388,0.4948764315852924,0.47797468354430384,0.73072349229679,0.26689914321447417,412,0.34472708590328693,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
NVDA,Logistic Regression,0.5412621359223301,0.4948035850495805,0.49361174675819985,0.6914264826842093,0.2490969291652478,412,0.027329690754413605,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
NVDA,Random Forest Classifier,0.5145631067961165,0.47277841342486654,0.468011060259344,0.6954710904073856,0.25100032908591885,412,1.3059713430702686,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
NVDA,HistGradientBoostingClassifier,0.4830097087378641,0.46786803966437834,0.4496329138062548,0.7560102497651993,0.2777498725446966,412,0.8209843225777149,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
