asset,fold,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_k,selected_seed,selected_validation_LL_per_obs,mean_posterior_entropy,switch_rate_pct,naive_train_mean_DPA,naive_train_mean_MAE,naive_persistence_DPA,naive_persistence_MAE,moving_average_5_DPA,moving_average_5_MAE,discrete_markov_chain_DPA,discrete_markov_chain_MAE,gaussian_hmm_hard_state_DPA,gaussian_hmm_hard_state_MAE,gaussian_hmm_soft_posterior_DPA,gaussian_hmm_soft_posterior_MAE
SPY,0,2014-01-31,2020-01-29,2020-01-31,2021-09-15,2021-09-17,2022-10-18,4,456,-11.633023119661162,0.07941698441967592,7.2992700729927,0.4854014598540146,0.010882998434542391,0.5255474452554745,0.015335107977221703,0.5072992700729927,0.011889712408558854,0.4854014598540146,0.010904687524560912,0.4854014598540146,0.010938847681858321,0.5036496350364964,0.010872624026318608
SPY,1,2014-01-31,2021-03-03,2021-03-05,2022-10-18,2022-10-20,2023-11-21,4,123,-3.9150655005495154,0.06241617490988748,6.204379562043796,0.5291970802919708,0.007510870627960755,0.4854014598540146,0.010780716961244944,0.4927007299270073,0.008386575530388157,0.5291970802919708,0.007509904008697759,0.5218978102189781,0.00753500673863573,0.5182481751824818,0.00753209112498901
SPY,2,2014-01-31,2022-04-04,2022-04-06,2023-11-21,2023-11-24,2024-12-26,4,42,-4.219100776463948,0.07173433451700263,5.474452554744526,0.5985401459854015,0.005672735735468748,0.5364963503649635,0.00826408444669535,0.5145985401459854,0.006431919496867463,0.5985401459854015,0.005684507672005812,0.5985401459854015,0.005663945366013238,0.6021897810218978,0.0056606371871553715
