asset,state,self_transition_probability,hmm_implied_mean_duration_days,decoded_empirical_mean_duration_days,empirical_to_implied_duration_ratio,absolute_duration_gap_days
BTC-USD,0,0.9150054092670172,11.765454617477706,12.197530864197532,1.036724143755395,0.43207624671982536
BTC-USD,1,0.9084439404412548,10.92226997120129,12.47222222222222,1.1419075206076834,1.5499522510209296
BTC-USD,2,0.9507208644023109,20.292563736586587,22.057142857142857,1.0869569337547436,1.7645791205562702
BTC-USD,3,0.7572133723820957,4.118842993172558,4.448275862068965,1.0799818952658498,0.329432868896407
GLD,0,0.9479501878934808,19.212365223403978,20.37209302325581,1.0603636140769948,1.159727799851833
GLD,1,0.3026173239085489,1.4339329528582456,1.3767605633802815,0.9601289660273147,0.0571723894779641
GLD,2,0.914424866422095,11.685637616792384,12.0,1.0269016029348603,0.3143623832076159
GLD,3,0.5575081754038647,2.259928758938553,2.466192170818505,1.0912698734701842,0.20626341187995223
HYG,0,0.954242316254991,21.854253059937168,23.487179487179485,1.0747189310366214,1.6329264272423174
HYG,1,0.9584946890370832,24.093302201577472,25.0,1.037632774072919,0.9066977984225275
HYG,2,0.8759733216610381,8.062781438579082,7.8,0.9674080910439026,0.26278143857908187
HYG,3,0.9677619577458628,31.019253344134686,34.26086956521739,1.1045033607069608,3.2416162210827046
IWM,0,0.952054162667984,20.856867992004958,23.022222222222226,1.1038197216881898,2.165354230217268
IWM,1,0.9777486186876436,44.94103022020892,46.285714285714285,1.0299210778862093,1.344684065505362
IWM,2,0.4774023862182022,1.913518113417054,1.9183673469387756,1.0025341978671225,0.004849233521721619
IWM,3,0.9778666446696082,45.18067798906548,46.0,1.018134345198025,0.8193220109345205
JPM,0,0.9441744288801062,17.912938102367985,18.51428571428572,1.0335705738768919,0.6013476119177348
JPM,1,0.9572038136695068,23.366568045982138,24.451612903225808,1.0464357818875434,1.0850448572436697
JPM,2,0.9297953427187556,14.24406925019142,15.235294117647058,1.06958860210837,0.9912248674556388
JPM,3,0.9265091991990532,13.60714523588531,14.9,1.0950129319341078,1.29285476411469
NVDA,0,0.9361205231504393,15.654480113465054,16.32608695652174,1.042901893783046,0.6716068430566846
NVDA,1,0.7575561603493326,4.1246665678982835,4.352941176470588,1.0553437725970227,0.22827460857230442
NVDA,2,0.9361616148837968,15.66455664847612,18.264705882352946,1.1659893281518294,2.6001492338768255
NVDA,3,0.9563952761835892,22.933295122113506,23.806451612903224,1.038073747629392,0.873156490789718
QQQ,0,0.963947764681577,27.737531145232207,29.217391304347824,1.0533522666947952,1.479860159115617
QQQ,1,0.9434363119727858,17.679186681018297,18.60975609756097,1.0526364381649866,0.9305694165426743
QQQ,2,0.8653017107881993,7.4239992642192485,8.333333333333334,1.1224857434316726,0.9093340691140854
QQQ,3,0.961982838706084,26.30391028590643,30.653846153846157,1.165372213509655,4.3499358679397275
SPY,0,0.9560894308449156,22.77356042615107,25.0,1.0977642288771101,2.2264395738489284
SPY,1,0.9651805952146434,28.719617872978475,32.388888888888886,1.1277618327701613,3.669271015910411
SPY,2,0.863708818610139,7.337231872247844,8.0,1.0903294511188877,0.6627681277521562
SPY,3,0.9684889282615342,31.73487745195581,35.208333333333336,1.1094523174584832,3.473455881377525
TLT,0,0.9861972308011916,72.44922997671583,75.11764705882354,1.0368315451104906,2.668417082107709
TLT,1,0.9768232334628456,43.1466571662148,47.23809523809524,1.094826304993198,4.0914380718804395
TLT,2,0.6780066323968716,3.1056540308387532,3.3157894736842106,1.0676622188945835,0.21013544284545738
