reference_asset,reference_state,asset,n_overlapping_days,mean_return_%,volatility_%,mean_abs_return_%,downside_frequency_%,mean_rolling_volatility_%,correlation_with_reference,beta_to_reference,same_direction_with_reference_%,mean_return_difference_vs_reference_%,mean_reference_posterior_entropy
SPY,0,SPY,325,0.07717108335293955,0.7222179343790318,0.5604247045497298,43.69230769230769,0.7248557283827987,0.9999999999999999,0.9999999999999992,100.0,0.0,0.056627004423869975
SPY,1,SPY,41,0.1787060047978478,0.42316811929256176,0.3845780365672028,29.268292682926827,0.4682153438100533,1.0,0.9999999999999998,100.0,0.0,0.11127800391838477
SPY,3,SPY,46,0.152392969763578,1.1814421527629866,0.906351396519993,34.78260869565217,1.093333913975444,1.0,1.0000000000000007,100.0,0.0,0.10319968322736091
SPY,0,QQQ,325,0.09704590236337605,1.0375577694190736,0.7955960571868079,43.38461538461538,1.0281348211072339,0.9237806469341282,1.327128200284291,87.38461538461539,0.01987481901043649,0.056627004423869975
SPY,1,QQQ,41,0.2976334934069098,0.7764459948593081,0.677587601772316,29.268292682926827,0.7717019387002848,0.8490959903576242,1.5579556939838295,90.2439024390244,0.11892748860906197,0.11127800391838477
SPY,3,QQQ,46,0.12856887529717562,1.5819186782740393,1.2238705505785086,34.78260869565217,1.5295435513849738,0.9775640900374727,1.3089315372942154,95.65217391304348,-0.023824094466402324,0.10319968322736091
SPY,0,IWM,325,0.04295247649831325,1.19677809093598,0.9552429880206381,49.23076923076923,1.213188820111803,0.7328729390314669,1.2144343627063825,77.84615384615384,-0.034218606854626334,0.056627004423869975
SPY,1,IWM,41,0.3087979631562909,1.1531847625241485,0.8511954905272932,46.34146341463415,1.004629119105327,0.24000022126452164,0.6540298891782211,63.41463414634146,0.13009195835844317,0.11127800391838477
SPY,3,IWM,46,0.010177734800649424,1.840770619585519,1.3450662602460373,45.65217391304348,1.6586587728993105,0.8788747359799858,1.3693491369885904,80.43478260869566,-0.14221523496292854,0.10319968322736091
SPY,0,TLT,325,-0.05333012966248835,0.9886937442976221,0.7871124686261375,52.0,0.9758014575865605,0.2131468905807132,0.2917914209854593,56.61538461538461,-0.13050121301542789,0.056627004423869975
SPY,1,TLT,41,0.00634452757282218,0.9872907510001878,0.7979589696060966,39.02439024390244,0.9986119379183195,0.26457681961110213,0.6172824346214345,65.85365853658537,-0.17236147722502562,0.11127800391838477
SPY,3,TLT,46,0.14541733593182102,1.0694151852979636,0.8423612811878667,43.47826086956522,1.0392296380338282,-0.0438027083819787,-0.03964923834088375,60.86956521739131,-0.006975633831756932,0.10319968322736091
SPY,0,GLD,325,0.019311070320027865,0.8670555441821317,0.646656366896262,48.30769230769231,0.8051254643255203,0.19808848661526968,0.23781425575659879,57.230769230769226,-0.057860013032911696,0.056627004423869975
SPY,1,GLD,41,0.21408519077168162,0.8838786946088288,0.7377832845196677,34.146341463414636,1.0944321943155537,0.11795956432203342,0.24638421699604096,65.85365853658537,0.03537918597383385,0.11127800391838477
SPY,3,GLD,46,0.20449244446302622,0.9142165392982342,0.7200884411231758,45.65217391304348,0.9281864304426333,0.394382717367728,0.3051788885200624,58.69565217391305,0.052099474699448284,0.10319968322736091
SPY,0,HYG,325,0.028442063723764028,0.3501760091989289,0.26979195794900934,47.38461538461539,0.33837686333106565,0.6355149609585022,0.3081370348494663,73.53846153846155,-0.048729019629175536,0.056627004423869975
SPY,1,HYG,41,0.060562509788558996,0.23600719038020146,0.20127998810231731,39.02439024390244,0.2676810809253944,0.5150286109302515,0.2872391607247506,75.60975609756098,-0.1181434950092888,0.11127800391838477
SPY,3,HYG,46,0.08197109581130864,0.3643894761568803,0.2871849879582583,36.95652173913043,0.31861562164179985,0.7727430743945339,0.2383353627801108,84.78260869565217,-0.07042187395226933,0.10319968322736091
SPY,0,BTC-USD,325,0.3068731067578626,2.7936151630500827,2.052053947619016,49.23076923076923,2.3658079683754654,0.20652646322984441,0.7988661479946063,59.38461538461538,0.22970202340492296,0.056627004423869975
SPY,1,BTC-USD,41,0.0022090429589996805,2.2145789790967814,1.6583625382853733,51.21951219512195,2.0025819663205193,0.3292557012528798,1.7231041789286659,63.41463414634146,-0.17649696183884808,0.11127800391838477
SPY,3,BTC-USD,46,-0.118167934925729,3.601233014820583,2.7658524567163356,52.17391304347826,2.884250430467024,0.6311870853190927,1.923963661583945,73.91304347826086,-0.27056090468930677,0.10319968322736091
SPY,0,JPM,325,0.1440939984982831,1.2759107919067492,0.8389174900629015,43.69230769230769,1.2081544023398612,0.4354460061384026,0.7692833867416776,69.84615384615384,0.0669229151453436,0.056627004423869975
SPY,1,JPM,41,0.218295386260451,1.0981618086733707,0.913291377505821,43.90243902439025,1.095131860783765,0.1061642154692832,0.2755063095751191,65.85365853658537,0.03958938146260327,0.11127800391838477
SPY,3,JPM,46,0.10831489125084898,1.6554590868365378,1.2252519965817454,30.434782608695656,1.4468496108539997,0.6803206710797267,0.9532781899374172,78.26086956521739,-0.04407807851272904,0.10319968322736091
SPY,0,NVDA,325,0.4351733602017305,3.097718461137459,2.1990087102002653,44.0,2.856417372068997,0.575417611097983,2.4680663161521,67.07692307692308,0.35800227684879093,0.056627004423869975
SPY,1,NVDA,41,0.01101428854752993,2.7232848216690306,2.1764098850474753,53.65853658536586,2.8263714029233564,0.5477105029592222,3.5247733261927183,70.73170731707317,-0.16769171625031795,0.11127800391838477
SPY,3,NVDA,46,0.32475996057273815,3.709811579113241,2.941229263825595,41.30434782608695,3.9035912698016277,0.7688978355579821,2.4143933639384505,80.43478260869566,0.17236699080916013,0.10319968322736091
