Date,log_return,rolling_volatility_20,daily_range,volume_change,current_close,next_log_return,state_viterbi_past_only,state_posterior_argmax,posterior_confidence,posterior_entropy,p_state_0,p_state_1,p_state_2,p_state_3
2023-05-10,0.010823008134071867,0.010950854952253623,0.013563398731090534,0.6432756545630298,319.1224670410156,0.0032549039620568413,1,1,0.9996844909103385,0.002254560143667947,0.00010383948890699153,0.9996844909103385,2.022312561702721e-05,0.00019144647511347993
2023-05-11,0.0032549039620568413,0.010159737032187617,0.008062552987101974,-0.311261098720663,320.1628723144531,-0.0035932033428248103,1,1,0.9974421445608919,0.013206334755955949,0.00010371383708154403,0.9974421445608919,7.772540079933628e-06,0.002446369061941713
2023-05-12,-0.0035932033428248103,0.010193229621630995,0.013014217155999817,0.08967803821966662,319.0145263671875,0.005400341246497321,1,1,0.9985471290042205,0.00826064986965942,0.00013662348632081998,0.9985471290042205,8.938827741256591e-06,0.0013073086817344645
2023-05-15,0.005400341246497321,0.01024028551878845,0.00939443448068803,-0.3723521760606575,320.7419738769531,0.0011314165441288616,1,1,0.9979935067140929,0.010796020820186457,0.00011855369109259467,0.9979935067140929,7.432778215820424e-06,0.001880506816601646
2023-05-16,0.0011314165441288616,0.010236654909085572,0.008803046981827788,0.1815342448638773,321.1050720214844,0.012031713911364319,1,1,0.9977828951180926,0.011673516631645916,8.414808463965123e-05,0.9977828951180926,9.427667720164306e-06,0.002123529129550135
2023-05-17,0.012031713911364319,0.010502104268901163,0.014103596819948867,0.17107769768588574,324.9918518066406,0.01840299120981447,1,1,0.99940766008503,0.00395192878426413,0.0003183670213708864,0.99940766008503,2.157133939890172e-05,0.0002524015542071496
2023-05-18,0.01840299120981447,0.010863277687160925,0.01776022305421365,0.30177643232725554,331.0280456542969,-0.002256135286568632,1,1,0.9983428967032191,0.00921334844024013,0.0015157891615449517,0.9983428967032191,0.00013564934030694926,5.664794909962605e-06
2023-05-19,-0.002256135286568632,0.010922842867873353,0.008261266228701812,-0.04228400942906823,330.28204345703125,0.003352506549768903,1,1,0.9994945400461183,0.003412480683796974,0.00020193663084548948,0.9994945400461183,1.1471682733541916e-05,0.00029205164030392385
2023-05-22,0.003352506549768903,0.010855775349115193,0.007197082952059458,-0.3583596447465699,331.39117431640625,-0.012757397759650901,1,1,0.9994008874537403,0.003918156183340215,0.00015836471847903295,0.9994008874537403,8.333178208177922e-06,0.000432414649567007
2023-05-23,-0.012757397759650901,0.01024818605473636,0.012179018889480713,0.11413561928939042,327.1903381347656,-0.00514258078157867,1,1,0.9995587268143186,0.003042230499656001,0.0001961709002408249,0.9995587268143186,1.7829870837753818e-05,0.00022727241458848124
2023-05-24,-0.00514258078157867,0.010413640211522253,0.010101028690388869,0.26570081523065836,325.5120544433594,0.024041211419031094,1,1,0.9990516815399001,0.005694262248346942,8.88956092487031e-05,0.9990516815399001,8.992992237641824e-06,0.0008504298586074937
2023-05-25,0.024041211419031094,0.010092805818150093,0.012775215831555043,0.0612365093589301,333.4325866699219,0.025229747441085616,1,1,0.9986330860101135,0.00792907369697426,0.0011773570010154648,0.9986330860101135,0.00017100615587359793,1.8550832989648694e-05
2023-05-26,0.025229747441085616,0.01123927661250627,0.024655558232997157,-0.05939692733700759,341.9520263671875,0.004524831743878103,1,1,0.8841032815296211,0.2903708169524306,0.10130455793197636,0.8841032815296211,0.01459216016810553,3.702721001867383e-10
2023-05-30,0.004524831743878103,0.011177847132773401,0.015429435187643685,0.14243784040234542,343.5028076171875,-0.005702490653622337,1,1,0.9956386437891052,0.02079080914278335,0.004207867374145349,0.9956386437891052,5.8540456994358234e-05,9.494837976678317e-05
2023-05-31,-0.005702490653622337,0.011011872560493498,0.011753201105399522,-0.10967617664943123,341.549560546875,0.011485980966669918,1,1,0.9994062197105211,0.003912701118417079,0.00040754011602431295,0.9994062197105211,1.413537148738701e-05,0.00017210480194158558
2023-06-01,0.011485980966669918,0.010813310056743226,0.019033497638075977,-0.254259926859809,345.4952087402344,0.007471848041913014,1,1,0.9982456752380205,0.009575954000972007,0.0016617538195197186,0.9982456752380205,8.444750615946917e-05,8.123436300848924e-06
2023-06-02,0.007471848041913014,0.010624163127616357,0.010771117643824362,0.05554056929666223,348.0863647460937,0.0007044628157862461,1,1,0.9991669089802604,0.005236415998023873,0.00020448065233214118,0.9991669089802604,1.0970066621223175e-05,0.0006176403007629863
2023-06-05,0.0007044628157862461,0.010040851501332696,0.010284570186690363,-0.12149268519949923,348.3316650390625,-0.0001691029321308749,1,1,0.9968508069640474,0.015747488284128516,0.00011322513829185331,0.9968508069640474,8.330866960679128e-06,0.0030276370306726703
2023-06-06,-0.0001691029321308749,0.010089335415349341,0.008144557203989853,-0.13274648243649706,348.27276611328125,-0.01711091011215326,1,1,0.9970439801520299,0.014912603624501326,0.00010223828219868816,0.9970439801520299,9.136773905729877e-06,0.0028446447918380265
2023-06-07,-0.01711091011215326,0.010953428874116293,0.02562927083794468,0.5143261001719032,342.3641967773437,0.012336999114001936,1,1,0.9970858476287972,0.014767896042688033,0.0027783585451220966,0.9970858476287972,0.0001357415278545026,5.229824753556275e-08
2023-06-08,0.012336999114001936,0.01100775310704172,0.013393686961627007,-0.38395834965695386,346.6141052246094,0.003815442132367592,1,1,0.9993231108955714,0.004261281184205955,0.0005963125267301875,0.9993231108955714,1.8756714623941933e-05,6.181986308599307e-05
2023-06-09,0.003815442132367592,0.011006116248806694,0.013060662574929478,0.1205834035741233,347.9391174316406,0.01675589902185525,1,1,0.9994706444097111,0.0035589367055269207,0.0002632338392399551,0.9994706444097111,1.0497983983685573e-05,0.0002556237670571185
