Date,log_return,rolling_volatility_20,daily_range,volume_change,current_close,next_log_return,state_viterbi_past_only,state_posterior_argmax,posterior_confidence,posterior_entropy,p_state_0,p_state_1,p_state_2,p_state_3
2023-06-18,-0.006602603438313832,0.02340266337406461,0.013291020911157782,-0.14788549050161962,26336.212890625,0.019359247201741925,0,0,0.9804994234044182,0.07013921903997146,0.9804994234044182,9.995362110976833e-07,0.01929546195720789,0.00020411510215653588
2023-06-19,0.019359247201741925,0.02391382871414066,0.02501875400929914,0.2933679756961198,26851.029296875,0.05352849528514009,0,0,0.9771526503193143,0.08028324667929826,0.9771526503193143,1.8032152166641916e-07,0.022356150794964155,0.0004910185642259078
2023-06-20,0.05352849528514009,0.02654788452460996,0.06072468258732236,0.5490750918806039,28327.48828125,0.05827421320682117,0,0,0.9696990036801444,0.10377245366588926,0.9696990036801444,1.987014586185448e-05,0.002207910733157629,0.028073215440860957
2023-06-21,0.05827421320682117,0.029027801550585215,0.08172297133805854,0.40633430351875793,30027.296875,-0.0038377235796951737,3,3,0.581845413097604,0.5767165858034006,0.3834896798174848,0.03462601003486651,3.8897050061974196e-05,0.581845413097604
2023-06-22,-0.0038377235796951737,0.02899658515013674,0.027307841783214045,-0.479092287468369,29912.28125,0.02584590576815378,0,0,0.9859818627856316,0.05962809558434174,0.9859818627856316,0.01073411800042349,0.0004383131686291144,0.0028457060453356076
2023-06-23,0.02584590576815378,0.029244059975794885,0.0503111462909326,0.15498933539925877,30695.46875,-0.004793067902493928,0,0,0.9975819130821498,0.0139097277998858,0.9975819130821498,0.0013884664775514353,0.00033566127936566917,0.0006939591609242021
2023-06-24,-0.004793067902493928,0.02933282255297156,0.01682565974968755,-0.6857077582181029,30548.6953125,-0.0022426607224285255,0,0,0.9996086506909526,0.0027624767212423447,0.9996086506909526,3.7686889797872656e-05,0.00016163439000789983,0.0001920280292405535
2023-06-25,-0.0022426607224285255,0.026160933949653253,0.023402952756183017,0.04472478586405775,30480.26171875,-0.006884835938176551,0,0,0.997917465802471,0.011110255953907177,0.997917465802471,6.605917239768648e-07,0.0019622591232530693,0.00011961448255129648
2023-06-26,-0.006884835938176551,0.0238349006846217,0.022473067141438326,0.26107266521044215,30271.130859375,0.013682563415242946,0,0,0.9872770893537003,0.05024304812505951,0.9872770893537003,7.843499432244132e-08,0.01240629633376012,0.0003165358775484402
2023-06-27,0.013682563415242946,0.02208107854433671,0.025095561832292324,-0.003909793194651986,30688.1640625,-0.01980891791303767,0,0,0.891590495476679,0.2494188354019265,0.891590495476679,5.363221019125472e-07,0.10801901114508364,0.00038995705616100615
2023-06-28,-0.01980891791303767,0.022919551122748186,0.025973896138951572,-0.1199699735304001,30086.24609375,0.011865197537731036,0,0,0.9257544526081183,0.192054517383011,0.9257544526081183,8.041940235848419e-07,0.07398129469301355,0.0002634485048535982
