Date,log_return,rolling_volatility_20,daily_range,volume_change,current_close,next_log_return,state_viterbi_past_only,state_posterior_argmax,posterior_confidence,posterior_entropy,p_state_0,p_state_1,p_state_2
2023-05-10,0.009657310568632664,0.012694568983616634,0.0057664435994549765,0.1765619200831141,90.97248840332033,0.010516095800292318,1,1,0.9990854250185157,0.006657020496021436,4.684654007236728e-13,0.9990854250185157,0.0009145749810712428
2023-05-11,0.010516095800292318,0.012851826772713425,0.007608135147448296,-0.17840383431568238,91.93421173095705,-0.008404178343925681,1,1,0.9996942157479034,0.0025307713879666647,2.727347650273606e-13,0.9996942157479034,0.00030578425181423876
2023-05-12,-0.008404178343925681,0.012824444225329962,0.00959048654641437,-0.2990201656123597,91.1648178100586,-0.010411565209831296,1,1,0.9998670771965006,0.0012009228891375755,1.104344377766064e-12,0.9998670771965006,0.0001329228024211043
2023-05-15,-0.010411565209831296,0.012754221734332313,0.00339178666382741,0.3468518789947326,90.22057342529295,-0.0030088200870285052,1,1,0.995993538614903,0.02376951214291174,5.822617698721272e-14,0.995993538614903,0.004006461385007643
2023-05-16,-0.0030088200870285052,0.01273736922690635,0.007678858248619342,0.3759494874276155,89.94952392578125,-0.0029203241704949105,1,1,0.9994248870354462,0.004429072300147907,1.6835261471226674e-12,0.9994248870354462,0.000575112962880752
2023-05-17,-0.0029203241704949105,0.012748540722917756,0.007896326511305085,-0.31531227234228276,89.68722534179688,-0.007436550317862338,1,1,0.9998725043537817,0.0011567280308209655,2.09200480989464e-12,0.9998725043537817,0.00012749564414222143
2023-05-18,-0.007436550317862338,0.012646308938825322,0.0050088601233457646,0.17948729792714688,89.02273559570312,-0.00709627581404726,1,1,0.999263536177946,0.005505841525075034,6.949004652193056e-13,0.999263536177946,0.0007364638214104307
2023-05-19,-0.00709627581404726,0.01267619603146581,0.009198816213769149,0.12849259982952857,88.39324188232422,-0.003567068295865998,1,1,0.9998121958528001,0.001637672359148573,2.955526526223042e-12,0.9998121958528001,0.00018780414419043327
2023-05-22,-0.003567068295865998,0.012408186621942041,0.010323614627565513,-0.36633943409402586,88.07849884033203,0.002874433884844618,1,1,0.9999123883234828,0.0008247939953594793,2.875463680453464e-11,0.9999123883234828,8.76116477222749e-05
2023-05-23,0.002874433884844618,0.011839803410757042,0.009601120780196409,0.07732488579723613,88.33203887939453,-0.00496121617396664,1,1,0.9999029486272939,0.0009046319635274322,9.781172847006836e-10,0.9999029486272939,9.705039453207005e-05
2023-05-24,-0.00496121617396664,0.01170457949778725,0.008256260232101166,-0.16325890919900993,87.89488983154297,-0.0024901298978836457,1,1,0.9999270247032507,0.0006991671513619364,1.9857714925949103e-09,0.9999270247032507,7.297331092450809e-05
2023-05-25,-0.0024901298978836457,0.011569905608732787,0.007678542898226412,0.1968633984337528,87.6762924194336,0.008044975756502004,1,1,0.9998687028632149,0.0011877488911974413,4.130871918911395e-09,0.9998687028632149,0.00013129300593497172
2023-05-26,0.008044975756502004,0.01104070446851387,0.011573827394697285,-0.27820114750819724,88.38449096679688,0.009941500482179339,1,1,0.9999114351654869,0.0008332169959295506,4.081300728728139e-08,0.9999114351654869,8.852402154723703e-05
2023-05-30,0.009941500482179339,0.009389257988005655,0.009696355323848983,0.3059288215184862,89.26754760742188,0.008679222135853907,1,1,0.9997165930010138,0.0025404344129276823,0.00011824003189115995,0.9997165930010138,0.00016516696710732948
2023-05-31,0.008679222135853907,0.007663195656890784,0.012719658081035607,0.028216280948633418,90.04569244384766,0.003915571043574962,1,1,0.9925873715011991,0.04134418122278527,0.006968613365927449,0.9925873715011991,0.00044401513281922315
2023-06-01,0.003915571043574962,0.007593940910745461,0.009697439617583266,-0.12269481386273287,90.39896392822266,-0.011018408203518387,1,1,0.9325562247245234,0.225841299011469,0.06728225615206072,0.9325562247245234,0.0001615191233591171
2023-06-02,-0.011018408203518387,0.007662155069520023,0.011079490901915179,-0.09484689290622586,89.40837860107422,-0.0018647054062733196,1,1,0.91670742691733,0.2627249110800174,0.08300899162414406,0.91670742691733,0.00028358145850459164
2023-06-05,-0.0018647054062733196,0.007650071385686036,0.012082547348335672,-0.2820663977670365,89.24181365966797,0.005876636707777374,1,1,0.8691275359598866,0.3549724370618957,0.13060312164459506,0.8691275359598866,0.00026934239555486577
2023-06-06,0.005876636707777374,0.007188327308584961,0.010546892724232483,-0.007029331610765033,89.7677993774414,-0.01495517360782576,1,1,0.5147756884048782,0.6320182598609152,0.48504042082989485,0.5147756884048782,0.0001838907651921564
2023-06-07,-0.01495517360782576,0.007873550328271438,0.016356082184796075,0.566367942317294,88.43529510498047,0.01162916151118995,1,1,0.9761333131145796,0.1129665604206328,0.019485791540867534,0.9761333131145796,0.0043808953445745764
2023-06-08,0.01162916151118995,0.008024028837035456,0.013129496080198637,-0.05729097363620101,89.4697265625,-0.0013725653896114554,1,1,0.995728872831863,0.02668318279639689,0.0036620404433616617,0.995728872831863,0.0006090867247781718
2023-06-09,-0.0013725653896114554,0.007566343974197804,0.009124806925861475,-0.07385863738114802,89.34700775146484,0.0029392608741100738,1,1,0.9182597992278612,0.25855826800115606,0.08159633716986804,0.9182597992278612,0.00014386360228706578
2023-06-12,0.0029392608741100738,0.0074399257665180105,0.011543732059130141,-0.15273917056793357,89.6100082397461,-0.009929888952312551,1,1,0.782115895994376,0.4788545229854601,0.21764644174198022,0.782115895994376,0.00023766226368462744
2023-06-13,-0.009929888952312551,0.007408090876069508,0.013437413522911449,0.3096789326633486,88.72459411621094,0.007971285062068525,1,1,0.807231255698501,0.450627682000143,0.19202922071418546,0.807231255698501,0.0007395235873301074
2023-06-14,0.007971285062068525,0.007641768138269581,0.00813567789027267,0.11587897139027986,89.4346694946289,0.009560139521400788,1,1,0.5335937591059675,0.6300513093383983,0.46626399847292005,0.5335937591059675,0.0001422424211292483
2023-06-15,0.009560139521400788,0.007919927465543923,0.009999988148513212,-0.12280348804849742,90.29377746582033,-0.003891130929267122,1,1,0.5787096485379467,0.621020957267434,0.4211129584075851,0.5787096485379467,0.00017739305448293756
2023-06-16,-0.003891130929267122,0.0077751297303641125,0.007797300815356093,-0.42879395922068464,89.943115234375,0.006896415531086333,0,0,0.7569119599581462,0.505207588732323,0.7569119599581462,0.24304511345846755,4.2926583364912016e-05
